target_intended_observed,model_intended_observed,model,subset,f1_score_mean,f1_score_std,f1_score_ci_lower,f1_score_ci_upper,f1_score_anger_mean,f1_score_anger_std,f1_score_anger_ci_lower,f1_score_anger_ci_upper,f1_score_disgust_mean,f1_score_disgust_std,f1_score_disgust_ci_lower,f1_score_disgust_ci_upper,f1_score_fear_mean,f1_score_fear_std,f1_score_fear_ci_lower,f1_score_fear_ci_upper,f1_score_happy_mean,f1_score_happy_std,f1_score_happy_ci_lower,f1_score_happy_ci_upper,f1_score_neutral_mean,f1_score_neutral_std,f1_score_neutral_ci_lower,f1_score_neutral_ci_upper,f1_score_sad_mean,f1_score_sad_std,f1_score_sad_ci_lower,f1_score_sad_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,recall_anger_mean,recall_anger_std,recall_anger_ci_lower,recall_anger_ci_upper,recall_disgust_mean,recall_disgust_std,recall_disgust_ci_lower,recall_disgust_ci_upper,recall_fear_mean,recall_fear_std,recall_fear_ci_lower,recall_fear_ci_upper,recall_happy_mean,recall_happy_std,recall_happy_ci_lower,recall_happy_ci_upper,recall_neutral_mean,recall_neutral_std,recall_neutral_ci_lower,recall_neutral_ci_upper,recall_sad_mean,recall_sad_std,recall_sad_ci_lower,recall_sad_ci_upper
intended,observed,cnn_lstm,male,0.31556,0.01860,0.31185,0.31927,0.64391,0.03058,0.63781,0.65001,0.29856,0.04902,0.28878,0.30833,0.26004,0.03724,0.25261,0.26747,0.21287,0.06263,0.20038,0.22536,0.34505,0.02124,0.34081,0.34928,0.13294,0.05068,0.12283,0.14304,0.36883,0.01504,0.36583,0.37183,0.62540,0.06230,0.61298,0.63783,0.22419,0.05198,0.21382,0.23455,0.18899,0.03929,0.18116,0.19683,0.13184,0.04750,0.12237,0.14131,0.96077,0.01972,0.95684,0.96471,0.08177,0.03604,0.07459,0.08896
intended,observed,cnn_lstm,female,0.37629,0.01967,0.37237,0.38021,0.64685,0.03474,0.63992,0.65377,0.25335,0.05727,0.24193,0.26477,0.34820,0.04054,0.34012,0.35629,0.39875,0.05621,0.38754,0.40996,0.38228,0.02388,0.37751,0.38704,0.22833,0.05925,0.21651,0.24014,0.41424,0.01869,0.41051,0.41797,0.62428,0.06262,0.61179,0.63677,0.17572,0.04966,0.16582,0.18562,0.28548,0.05177,0.27516,0.29580,0.28756,0.05995,0.27560,0.29951,0.94262,0.02626,0.93738,0.94785,0.16977,0.05769,0.15826,0.18127
intended,observed,cnn_lstm,cauc,0.34618,0.01851,0.34249,0.34987,0.64806,0.03101,0.64187,0.65424,0.25136,0.04916,0.24156,0.26117,0.30743,0.03170,0.30111,0.31375,0.31488,0.05861,0.30319,0.32657,0.36476,0.02048,0.36068,0.36885,0.19057,0.05237,0.18013,0.20102,0.38828,0.01642,0.38500,0.39155,0.62190,0.05971,0.61000,0.63381,0.17609,0.04468,0.16718,0.18500,0.24121,0.03975,0.23329,0.24914,0.21007,0.05273,0.19955,0.22058,0.95002,0.02069,0.94589,0.95414,0.13038,0.04504,0.12140,0.13936
intended,observed,cnn_lstm,non-cauc,0.34669,0.02015,0.34267,0.35071,0.64020,0.03722,0.63277,0.64762,0.32949,0.05653,0.31822,0.34076,0.29788,0.04951,0.28801,0.30776,0.29188,0.06435,0.27904,0.30471,0.35440,0.02450,0.34952,0.35929,0.16631,0.05645,0.15506,0.17757,0.39424,0.01788,0.39067,0.39780,0.63050,0.06599,0.61734,0.64366,0.25413,0.06121,0.24192,0.26633,0.22111,0.05136,0.21086,0.23135,0.19389,0.05519,0.18289,0.20490,0.95668,0.02413,0.95187,0.96149,0.10913,0.04387,0.10038,0.11787
intended,observed,cnn_lstm_attention,male,0.29650,0.01854,0.29281,0.30020,0.64778,0.02642,0.64251,0.65305,0.29192,0.04316,0.28331,0.30053,0.24611,0.04509,0.23712,0.25510,0.16717,0.05261,0.15668,0.17766,0.34521,0.01947,0.34132,0.34909,0.08083,0.03887,0.07308,0.08858,0.34894,0.01451,0.34605,0.35184,0.60708,0.04718,0.59768,0.61649,0.21014,0.04211,0.20174,0.21853,0.17150,0.04268,0.16299,0.18001,0.09682,0.03451,0.08993,0.10370,0.96245,0.01819,0.95882,0.96608,0.04567,0.02369,0.04095,0.05040
intended,observed,cnn_lstm_attention,female,0.36240,0.02004,0.35841,0.36640,0.65136,0.03164,0.64505,0.65767,0.23343,0.05006,0.22345,0.24341,0.35049,0.04674,0.34117,0.35981,0.35316,0.05786,0.34162,0.36470,0.38317,0.01825,0.37953,0.38681,0.20281,0.05708,0.19143,0.21420,0.39380,0.01704,0.39040,0.39720,0.60758,0.05389,0.59683,0.61832,0.15256,0.04026,0.14453,0.16059,0.28100,0.05744,0.26955,0.29246,0.23695,0.05076,0.22683,0.24708,0.94821,0.02551,0.94312,0.95330,0.13649,0.04713,0.12709,0.14589
intended,observed,cnn_lstm_attention,cauc,0.33086,0.01797,0.32728,0.33445,0.65399,0.02600,0.64880,0.65917,0.23386,0.04432,0.22502,0.24270,0.30359,0.03913,0.29578,0.31139,0.26856,0.04989,0.25861,0.27851,0.36571,0.01680,0.36236,0.36906,0.15947,0.04985,0.14953,0.16942,0.36886,0.01494,0.36588,0.37184,0.60566,0.04678,0.59633,0.61498,0.15564,0.03679,0.14830,0.16297,0.23145,0.04464,0.22255,0.24035,0.16724,0.03863,0.15953,0.17494,0.95308,0.02102,0.94889,0.95727,0.10009,0.03673,0.09277,0.10742
intended,observed,cnn_lstm_attention,non-cauc,0.32803,0.01984,0.32407,0.33199,0.64112,0.03019,0.63510,0.64714,0.32575,0.04990,0.31580,0.33570,0.28962,0.05778,0.27810,0.30114,0.24719,0.06028,0.23517,0.25921,0.35400,0.02399,0.34922,0.35879,0.11050,0.04329,0.10186,0.11913,0.37252,0.01660,0.36921,0.37583,0.61024,0.05205,0.59986,0.62062,0.23942,0.05032,0.22939,0.24946,0.20652,0.05476,0.19560,0.21744,0.15280,0.04364,0.14410,0.16150,0.96095,0.02425,0.95611,0.96578,0.06516,0.02808,0.05956,0.07076
intended,observed,cnn_lstm_attention_multitask,male,0.28267,0.01576,0.27953,0.28581,0.64592,0.03278,0.63938,0.65246,0.28196,0.04738,0.27251,0.29141,0.24827,0.04006,0.24028,0.25626,0.12626,0.03862,0.11856,0.13396,0.34443,0.01993,0.34046,0.34841,0.04916,0.02952,0.04327,0.05505,0.33974,0.01321,0.33710,0.34237,0.60588,0.05429,0.59506,0.61671,0.19724,0.04556,0.18816,0.20633,0.16949,0.03484,0.16254,0.17644,0.07023,0.02370,0.06550,0.07496,0.96906,0.01760,0.96555,0.97257,0.02651,0.01660,0.02320,0.02982
intended,observed,cnn_lstm_attention_multitask,female,0.34997,0.02102,0.34577,0.35416,0.65607,0.03169,0.64975,0.66239,0.23122,0.05812,0.21963,0.24281,0.33730,0.04248,0.32883,0.34577,0.30820,0.06276,0.29569,0.32072,0.38402,0.02325,0.37939,0.38866,0.18298,0.04577,0.17385,0.19211,0.37930,0.01522,0.37627,0.38234,0.59948,0.04835,0.58983,0.60912,0.15100,0.04764,0.14150,0.16050,0.26128,0.04883,0.25154,0.27102,0.19832,0.05312,0.18773,0.20892,0.94907,0.02232,0.94462,0.95352,0.11666,0.03607,0.10946,0.12385
intended,observed,cnn_lstm_attention_multitask,cauc,0.31655,0.01694,0.31317,0.31993,0.65726,0.02865,0.65155,0.66297,0.22242,0.05055,0.21234,0.23250,0.29807,0.04088,0.28992,0.30622,0.22299,0.04896,0.21322,0.23275,0.36573,0.01919,0.36190,0.36956,0.13283,0.03361,0.12613,0.13954,0.35673,0.01280,0.35418,0.35929,0.60476,0.04808,0.59517,0.61435,0.14498,0.04160,0.13669,0.15328,0.22186,0.04243,0.21340,0.23033,0.13264,0.03449,0.12577,0.13952,0.95734,0.01878,0.95359,0.96109,0.07881,0.02299,0.07423,0.08340
intended,observed,cnn_lstm_attention_multitask,non-cauc,0.31612,0.02086,0.31196,0.32028,0.63831,0.03514,0.63130,0.64532,0.32764,0.05141,0.31738,0.33789,0.28175,0.04852,0.27207,0.29143,0.20844,0.05829,0.19682,0.22007,0.35360,0.02589,0.34844,0.35877,0.08696,0.04460,0.07806,0.09585,0.36207,0.01693,0.35869,0.36544,0.59955,0.05329,0.58892,0.61017,0.23900,0.05304,0.22842,0.24958,0.19452,0.04212,0.18612,0.20292,0.12531,0.04186,0.11696,0.13365,0.96474,0.02116,0.96052,0.96896,0.04929,0.02729,0.04385,0.05473
