target_intended_observed,model_intended_observed,model,bootstrap,subset,f1_score,f1_score_anger,f1_score_disgust,f1_score_fear,f1_score_happy,f1_score_neutral,f1_score_sad,recall,recall_anger,recall_disgust,recall_fear,recall_happy,recall_neutral,recall_sad
intended,intended,svm,24,non-cauc,0.38027,0.61404,0.28708,0.32692,0.28856,0.30058,0.46445,0.32530,0.54688,0.23077,0.26357,0.22835,0.25243,0.42982
observed,intended,svm,25,male,0.28688,0.57971,0.17284,0.28685,0.24211,0.25261,0.18719,0.31455,0.58140,0.17647,0.30769,0.38333,0.14611,0.29231
observed,intended,svm,25,female,0.30989,0.64537,0.18750,0.24034,0.33333,0.21451,0.23830,0.31714,0.66013,0.21429,0.21705,0.42105,0.12364,0.26667
observed,intended,svm,25,cauc,0.31131,0.61792,0.21127,0.28743,0.29839,0.23062,0.22222,0.33489,0.62085,0.23438,0.28402,0.46250,0.13257,0.27500
observed,intended,svm,25,non-cauc,0.27442,0.59829,0.11921,0.21333,0.26866,0.24847,0.19858,0.28136,0.61404,0.12000,0.20779,0.32143,0.14489,0.28000
intended,intended,svm,25,male,0.41615,0.63102,0.31270,0.32653,0.34030,0.40278,0.48358,0.35762,0.58706,0.26230,0.26794,0.27805,0.33918,0.41117
intended,intended,svm,25,female,0.44035,0.68452,0.33692,0.35507,0.45890,0.35652,0.45016,0.37690,0.65341,0.27485,0.28488,0.38068,0.28082,0.38674
intended,intended,svm,25,cauc,0.43090,0.65385,0.35806,0.34074,0.39416,0.37778,0.46083,0.36746,0.60000,0.29787,0.28750,0.33333,0.29694,0.38911
intended,intended,svm,25,non-cauc,0.42095,0.66116,0.25641,0.33645,0.39815,0.39241,0.48113,0.36775,0.65574,0.21008,0.25532,0.31159,0.35227,0.42149
observed,intended,svm,26,male,0.31332,0.64497,0.33333,0.25000,0.22485,0.24242,0.18433,0.35344,0.64881,0.38655,0.28155,0.37255,0.14130,0.28986
observed,intended,svm,26,female,0.31414,0.61442,0.23581,0.26606,0.22798,0.26502,0.27556,0.32164,0.61250,0.25234,0.22656,0.33846,0.15552,0.34444
observed,intended,svm,26,cauc,0.31094,0.63158,0.26250,0.23729,0.23214,0.26155,0.24055,0.33121,0.62857,0.27815,0.22876,0.36111,0.15411,0.33654
observed,intended,svm,26,non-cauc,0.32025,0.62762,0.33514,0.29677,0.21739,0.23265,0.21192,0.35157,0.63559,0.41333,0.29487,0.34091,0.13380,0.29091
intended,intended,svm,26,male,0.41873,0.65546,0.37500,0.34069,0.31068,0.38796,0.44258,0.36806,0.62567,0.33846,0.28723,0.25131,0.32768,0.37799
intended,intended,svm,26,female,0.44330,0.67847,0.36774,0.32157,0.48201,0.33600,0.47403,0.38865,0.63889,0.30319,0.24848,0.44667,0.27273,0.42197
intended,intended,svm,26,cauc,0.42340,0.68610,0.33724,0.29775,0.36461,0.38845,0.46623,0.36611,0.64286,0.27907,0.24766,0.30769,0.32599,0.39338
intended,intended,svm,26,non-cauc,0.44010,0.63200,0.43404,0.38889,0.43925,0.30952,0.43689,0.39555,0.61240,0.40800,0.30216,0.39167,0.25000,0.40909
observed,intended,svm,27,male,0.29547,0.59770,0.23346,0.25279,0.22353,0.23705,0.22831,0.33055,0.57143,0.22222,0.28814,0.33333,0.13715,0.43103
observed,intended,svm,27,female,0.34048,0.60364,0.26484,0.25893,0.34951,0.28529,0.28070,0.33139,0.57639,0.24167,0.23577,0.43373,0.17086,0.32990
observed,intended,svm,27,cauc,0.32940,0.59753,0.25806,0.26190,0.34263,0.25483,0.26144,0.33957,0.58173,0.24540,0.26994,0.43000,0.15000,0.36036
observed,intended,svm,27,non-cauc,0.29569,0.60550,0.22892,0.24204,0.19200,0.26453,0.24113,0.30839,0.55932,0.20652,0.24359,0.30000,0.15457,0.38636
intended,intended,svm,27,male,0.41157,0.65014,0.31792,0.35519,0.32154,0.37762,0.44699,0.35595,0.59898,0.24554,0.30233,0.25253,0.32143,0.41489
intended,intended,svm,27,female,0.43667,0.64052,0.34909,0.34717,0.43189,0.37209,0.47923,0.36913,0.56000,0.27273,0.28049,0.36517,0.32432,0.41209
intended,intended,svm,27,cauc,0.42851,0.65772,0.34867,0.36232,0.39409,0.35884,0.44944,0.36476,0.58800,0.27068,0.31120,0.31373,0.30493,0.40000
intended,intended,svm,27,non-cauc,0.41532,0.62162,0.29808,0.33180,0.33981,0.41212,0.48848,0.35905,0.56557,0.23134,0.26087,0.28926,0.36559,0.44167
observed,intended,svm,28,male,0.28660,0.62532,0.25726,0.28352,0.17647,0.22955,0.14747,0.30778,0.61735,0.25203,0.30579,0.27778,0.13147,0.26230
observed,intended,svm,28,female,0.32160,0.61538,0.23684,0.24000,0.33028,0.23228,0.27481,0.32590,0.58667,0.24107,0.21600,0.43373,0.13509,0.34286
observed,intended,svm,28,cauc,0.31767,0.62470,0.22819,0.27129,0.28916,0.24341,0.24926,0.32793,0.59447,0.22368,0.26708,0.40449,0.14184,0.33600
observed,intended,svm,28,non-cauc,0.28449,0.61538,0.28070,0.24852,0.21583,0.20565,0.14085,0.30482,0.62016,0.28916,0.24706,0.31250,0.11617,0.24390
intended,intended,svm,28,male,0.40153,0.64851,0.29126,0.35503,0.33225,0.36226,0.41989,0.34796,0.61502,0.23560,0.30303,0.26702,0.29814,0.36893
intended,intended,svm,28,female,0.44391,0.66450,0.39365,0.28881,0.47319,0.32479,0.51852,0.38644,0.59649,0.31156,0.22599,0.41209,0.26950,0.50299
intended,intended,svm,28,cauc,0.41975,0.66667,0.30380,0.31553,0.41481,0.34911,0.46855,0.36051,0.59363,0.24096,0.25391,0.34286,0.29798,0.43373
intended,intended,svm,28,non-cauc,0.42881,0.63636,0.41048,0.34483,0.38356,0.33540,0.46222,0.37769,0.63158,0.33333,0.29412,0.32812,0.25962,0.41935
observed,intended,svm,29,male,0.27352,0.62431,0.22041,0.25203,0.17241,0.18750,0.18447,0.31533,0.62088,0.23276,0.26957,0.31250,0.10442,0.35185
observed,intended,svm,29,female,0.34415,0.69536,0.27451,0.24670,0.31718,0.24773,0.28340,0.35520,0.67308,0.29474,0.21875,0.45000,0.14462,0.35000
observed,intended,svm,29,cauc,0.31601,0.65760,0.25166,0.25000,0.27068,0.21769,0.24845,0.33906,0.63877,0.26207,0.24551,0.41860,0.12458,0.34483
observed,intended,svm,29,non-cauc,0.29612,0.65471,0.23129,0.24828,0.22222,0.20645,0.21374,0.33222,0.65766,0.25758,0.23684,0.35714,0.11566,0.36842
intended,intended,svm,29,male,0.40000,0.61867,0.36970,0.31832,0.35692,0.29603,0.44037,0.34619,0.59487,0.30348,0.26238,0.29146,0.21354,0.41143
intended,intended,svm,29,female,0.43152,0.66667,0.30935,0.30824,0.48734,0.32685,0.49068,0.37624,0.59783,0.25444,0.23889,0.45562,0.25926,0.45143
intended,intended,svm,29,cauc,0.40208,0.62447,0.34975,0.30404,0.39161,0.29474,0.44789,0.34569,0.56923,0.28514,0.24615,0.33735,0.22400,0.41224
intended,intended,svm,29,non-cauc,0.44566,0.67532,0.32673,0.33508,0.48113,0.35065,0.50505,0.39248,0.65546,0.27273,0.26230,0.42857,0.25962,0.47619
observed,intended,svm,3,male,0.28682,0.64246,0.20000,0.29286,0.19149,0.24102,0.15311,0.30560,0.57789,0.20755,0.31538,0.32727,0.13885,0.26667
observed,intended,svm,3,female,0.32095,0.59107,0.23697,0.30400,0.35088,0.21767,0.22511,0.32250,0.55128,0.25253,0.31148,0.43956,0.12523,0.25490
observed,intended,svm,3,cauc,0.32210,0.63551,0.22776,0.30890,0.30996,0.24101,0.20946,0.32977,0.58621,0.22378,0.31892,0.43299,0.13995,0.27679
observed,intended,svm,3,non-cauc,0.27356,0.58824,0.20000,0.27027,0.22069,0.20940,0.15278,0.28896,0.52846,0.24194,0.29851,0.32653,0.11836,0.22000
intended,intended,svm,3,male,0.40873,0.65608,0.25890,0.36257,0.34043,0.38869,0.44568,0.34773,0.56621,0.20513,0.32292,0.28571,0.32544,0.38095
intended,intended,svm,3,female,0.41944,0.64262,0.32624,0.35811,0.43189,0.31405,0.44375,0.36160,0.57647,0.27059,0.31548,0.39634,0.23899,0.37173
intended,intended,svm,3,cauc,0.41684,0.66667,0.28646,0.37813,0.39336,0.34877,0.42765,0.35489,0.58755,0.22358,0.34298,0.33468,0.28571,0.35484
intended,intended,svm,3,non-cauc,0.40875,0.61739,0.29952,0.32161,0.36538,0.36709,0.48148,0.35232,0.53788,0.26050,0.27119,0.33929,0.27885,0.42623
observed,intended,svm,30,male,0.28129,0.59843,0.22581,0.25279,0.21053,0.23659,0.16364,0.29561,0.60317,0.20588,0.26357,0.27273,0.13798,0.29032
observed,intended,svm,30,female,0.31998,0.60726,0.30769,0.28182,0.30476,0.23423,0.18410,0.31908,0.58599,0.29412,0.26271,0.37647,0.13636,0.25882
observed,intended,svm,30,cauc,0.31684,0.62693,0.29932,0.26113,0.28794,0.22967,0.19608,0.32582,0.62555,0.28205,0.25731,0.37374,0.13325,0.28302
observed,intended,svm,30,non-cauc,0.26763,0.55411,0.18792,0.27632,0.20968,0.24701,0.13072,0.27066,0.53782,0.17073,0.27632,0.25000,0.14520,0.24390
intended,intended,svm,30,male,0.41390,0.65664,0.30960,0.31765,0.34528,0.39062,0.46361,0.36094,0.63285,0.23697,0.27000,0.26238,0.35971,0.40376
intended,intended,svm,30,female,0.44339,0.68339,0.35636,0.34409,0.46823,0.33992,0.46835,0.38333,0.63006,0.26923,0.27119,0.40230,0.27044,0.45679
intended,intended,svm,30,cauc,0.43227,0.69053,0.34243,0.31579,0.44554,0.34320,0.45614,0.37336,0.65863,0.26038,0.26190,0.36585,0.28713,0.40625
intended,intended,svm,30,non-cauc,0.41873,0.62551,0.30769,0.35821,0.32673,0.40936,0.48485,0.36526,0.58015,0.23438,0.28800,0.25385,0.36458,0.47059
observed,intended,svm,31,male,0.28772,0.55975,0.30453,0.25833,0.18868,0.25467,0.16038,0.30413,0.54601,0.30833,0.27193,0.28846,0.14850,0.26154
observed,intended,svm,31,female,0.33364,0.63087,0.23158,0.22407,0.34419,0.26590,0.30522,0.33698,0.62667,0.23158,0.20930,0.40659,0.16000,0.38776
observed,intended,svm,31,cauc,0.32195,0.60000,0.25899,0.22941,0.33594,0.25977,0.24762,0.33067,0.57868,0.25532,0.23077,0.41748,0.15358,0.34821
observed,intended,svm,31,non-cauc,0.29705,0.58475,0.29677,0.26950,0.15254,0.25954,0.21918,0.30910,0.59483,0.31081,0.25676,0.22500,0.15350,0.31373
intended,intended,svm,31,male,0.39995,0.57955,0.31579,0.31611,0.31270,0.43243,0.44311,0.34044,0.51777,0.26519,0.25616,0.24000,0.36782,0.39572
intended,intended,svm,31,female,0.42395,0.64725,0.32353,0.31757,0.43260,0.33463,0.48810,0.37156,0.62112,0.24859,0.25543,0.35385,0.30714,0.44324
intended,intended,svm,31,cauc,0.41056,0.61275,0.30481,0.30806,0.39243,0.37705,0.46827,0.35257,0.55556,0.24051,0.25896,0.30741,0.33173,0.42126
intended,intended,svm,31,non-cauc,0.41528,0.60870,0.34653,0.33498,0.33498,0.40642,0.46009,0.36066,0.57895,0.28926,0.25000,0.27200,0.35849,0.41525
observed,intended,svm,32,male,0.27702,0.64362,0.22134,0.20513,0.15172,0.24424,0.19608,0.31272,0.64362,0.23140,0.24242,0.23404,0.14021,0.38462
observed,intended,svm,32,female,0.31123,0.60274,0.22917,0.25806,0.33488,0.23421,0.20833,0.31017,0.58667,0.22000,0.23881,0.42353,0.13694,0.25510
observed,intended,svm,32,cauc,0.31167,0.64889,0.24667,0.22807,0.29876,0.23968,0.20795,0.32035,0.63203,0.25000,0.23636,0.37895,0.13902,0.28571
observed,intended,svm,32,non-cauc,0.26933,0.57798,0.17931,0.24286,0.18487,0.24046,0.19048,0.30271,0.58879,0.17808,0.25000,0.29730,0.13846,0.36364
intended,intended,svm,32,male,0.39585,0.65995,0.35366,0.31707,0.22456,0.37543,0.44444,0.35232,0.62679,0.29592,0.26943,0.17112,0.30387,0.44681
intended,intended,svm,32,female,0.43931,0.67949,0.32283,0.34364,0.48366,0.33600,0.47022,0.37875,0.62353,0.25309,0.28249,0.42045,0.26923,0.42373
intended,intended,svm,32,cauc,0.42515,0.69311,0.34826,0.33495,0.36554,0.36658,0.44248,0.36798,0.63846,0.28000,0.29362,0.29536,0.29060,0.40984
intended,intended,svm,32,non-cauc,0.40391,0.61739,0.32222,0.31884,0.34615,0.33721,0.48163,0.36075,0.59664,0.26852,0.24444,0.28571,0.28155,0.48760
observed,intended,svm,33,male,0.30825,0.64426,0.27193,0.28926,0.20000,0.23206,0.21198,0.33253,0.63889,0.27928,0.33019,0.25862,0.13435,0.35385
observed,intended,svm,33,female,0.32928,0.65176,0.21719,0.32500,0.29730,0.21905,0.26540,0.33088,0.62195,0.22222,0.31707,0.40244,0.12684,0.29474
observed,intended,svm,33,cauc,0.32080,0.65438,0.21843,0.29538,0.26721,0.23179,0.25763,0.32926,0.63393,0.22857,0.31373,0.34021,0.13436,0.32479
observed,intended,svm,33,non-cauc,0.31884,0.63559,0.29487,0.33121,0.24000,0.21589,0.19549,0.33902,0.62500,0.29114,0.34211,0.34884,0.12471,0.30233
intended,intended,svm,33,male,0.40411,0.67733,0.27027,0.33828,0.28571,0.40541,0.44767,0.34785,0.64141,0.22346,0.28358,0.20792,0.32967,0.40104
intended,intended,svm,33,female,0.44082,0.68452,0.31359,0.37584,0.45395,0.37657,0.44043,0.37945,0.61497,0.25862,0.30939,0.42073,0.29412,0.37888
intended,intended,svm,33,cauc,0.42451,0.67819,0.31500,0.36235,0.34286,0.41304,0.43564,0.36250,0.62055,0.25506,0.30435,0.28085,0.32479,0.38938
intended,intended,svm,33,non-cauc,0.41657,0.68548,0.24044,0.34286,0.42254,0.34731,0.46083,0.35915,0.64394,0.20755,0.27907,0.34351,0.28713,0.39370
observed,intended,svm,34,male,0.30755,0.59375,0.26400,0.31227,0.26994,0.23866,0.16667,0.33079,0.58763,0.26400,0.31343,0.35484,0.13793,0.32692
observed,intended,svm,34,female,0.33322,0.58537,0.29630,0.24490,0.34259,0.22636,0.30380,0.34313,0.58741,0.33333,0.22556,0.46835,0.13106,0.31304
observed,intended,svm,34,cauc,0.32433,0.58034,0.29316,0.28571,0.30418,0.23663,0.24595,0.33689,0.57075,0.29605,0.27374,0.43478,0.13707,0.30894
observed,intended,svm,34,non-cauc,0.31812,0.60630,0.25157,0.26901,0.32759,0.22701,0.22727,0.33780,0.61600,0.28986,0.26136,0.38776,0.13093,0.34091
intended,intended,svm,34,male,0.41875,0.60590,0.34302,0.38177,0.31818,0.38129,0.48235,0.36520,0.61749,0.26941,0.31019,0.23671,0.32121,0.43617
intended,intended,svm,34,female,0.43064,0.64262,0.34058,0.35862,0.46584,0.35443,0.42173,0.37249,0.60870,0.30128,0.29213,0.40541,0.28188,0.34555
intended,intended,svm,34,cauc,0.42584,0.62963,0.32178,0.35437,0.41667,0.38012,0.45249,0.36683,0.59912,0.26104,0.29435,0.34483,0.31100,0.39062
intended,intended,svm,34,non-cauc,0.42273,0.60976,0.37963,0.40175,0.34343,0.34682,0.45498,0.36950,0.64103,0.32540,0.31507,0.25954,0.28571,0.39024
observed,intended,svm,35,male,0.28458,0.58967,0.27309,0.26295,0.18868,0.24677,0.14634,0.30111,0.57396,0.26562,0.27273,0.27273,0.14384,0.27778
observed,intended,svm,35,female,0.33021,0.59184,0.24561,0.27778,0.31760,0.24883,0.29963,0.34527,0.58389,0.25688,0.25180,0.44578,0.14493,0.38835
observed,intended,svm,35,cauc,0.31810,0.59606,0.26829,0.25000,0.30108,0.26002,0.23313,0.33552,0.59314,0.27848,0.23889,0.42857,0.15200,0.32203
observed,intended,svm,35,non-cauc,0.29457,0.58065,0.24161,0.31447,0.17699,0.22081,0.23288,0.31777,0.55263,0.22785,0.31250,0.25000,0.12776,0.43590
intended,intended,svm,35,male,0.40650,0.62396,0.34969,0.34727,0.30556,0.36000,0.45251,0.34522,0.56281,0.27805,0.29834,0.23913,0.30168,0.39130
intended,intended,svm,35,female,0.44482,0.62745,0.30263,0.36789,0.47761,0.39331,0.50000,0.39650,0.59627,0.24865,0.29570,0.43243,0.31757,0.48837
intended,intended,svm,35,cauc,0.43612,0.63908,0.34112,0.35036,0.43084,0.39050,0.46482,0.37906,0.59657,0.28295,0.29150,0.36538,0.32035,0.41762
intended,intended,svm,35,non-cauc,0.40381,0.60000,0.29703,0.37186,0.31868,0.33750,0.49778,0.35013,0.54331,0.22727,0.30833,0.26606,0.28125,0.47458
observed,intended,svm,36,male,0.29012,0.57391,0.23423,0.34074,0.13953,0.24122,0.21106,0.30752,0.53226,0.21311,0.35115,0.21053,0.14187,0.39623
observed,intended,svm,36,female,0.32299,0.65015,0.25121,0.27650,0.29592,0.24290,0.22128,0.31533,0.60345,0.24074,0.26087,0.38667,0.14286,0.25743
observed,intended,svm,36,cauc,0.31930,0.62780,0.26812,0.31707,0.24096,0.23814,0.22373,0.32613,0.58333,0.25170,0.30952,0.36145,0.13948,0.31132
observed,intended,svm,36,non-cauc,0.28506,0.57658,0.19608,0.30189,0.18487,0.24950,0.20144,0.28098,0.53333,0.18072,0.30769,0.22449,0.14797,0.29167
intended,intended,svm,36,male,0.37849,0.57382,0.25407,0.32353,0.28859,0.36237,0.46857,0.32350,0.51500,0.18841,0.27363,0.23497,0.32704,0.40196
intended,intended,svm,36,female,0.42994,0.68750,0.32353,0.33824,0.42215,0.37344,0.43478,0.36437,0.59606,0.25434,0.27059,0.36310,0.30822,0.39394
intended,intended,svm,36,cauc,0.40408,0.64655,0.29610,0.32500,0.34673,0.36212,0.44796,0.34456,0.58140,0.22266,0.27083,0.29741,0.30374,0.39130
intended,intended,svm,36,non-cauc,0.40328,0.59919,0.26804,0.33962,0.37037,0.37870,0.46377,0.34240,0.51034,0.20968,0.27481,0.29412,0.35165,0.41379
observed,intended,svm,37,male,0.31345,0.64045,0.31418,0.32031,0.15094,0.26037,0.19444,0.33386,0.58763,0.33607,0.34167,0.24000,0.15353,0.34426
observed,intended,svm,37,female,0.33142,0.62379,0.21154,0.26364,0.41096,0.22624,0.25234,0.33130,0.62179,0.21569,0.25439,0.46392,0.13204,0.30000
observed,intended,svm,37,cauc,0.32118,0.63556,0.24503,0.27673,0.31698,0.23352,0.21927,0.33815,0.61373,0.24667,0.28758,0.41176,0.13582,0.33333
observed,intended,svm,37,non-cauc,0.33970,0.62673,0.31138,0.32911,0.26549,0.27292,0.23256,0.33984,0.58120,0.35135,0.32099,0.33333,0.16368,0.28846
intended,intended,svm,37,male,0.41431,0.64481,0.35329,0.35159,0.30189,0.40404,0.43023,0.35916,0.57843,0.30256,0.28910,0.22967,0.36364,0.39153
intended,intended,svm,37,female,0.39981,0.64396,0.27986,0.32836,0.46154,0.30000,0.38514,0.34458,0.61905,0.21925,0.27160,0.38983,0.23636,0.33140
intended,intended,svm,37,cauc,0.41759,0.65953,0.30216,0.34634,0.41218,0.36641,0.41892,0.35937,0.61600,0.23774,0.28980,0.33333,0.29508,0.38430
intended,intended,svm,37,non-cauc,0.38650,0.61261,0.35238,0.33171,0.30526,0.32927,0.38776,0.33504,0.55738,0.31624,0.26562,0.23770,0.31395,0.31933
observed,intended,svm,38,male,0.29325,0.65753,0.27451,0.29661,0.09929,0.23256,0.19900,0.30766,0.63830,0.28455,0.30702,0.14894,0.13380,0.33333
observed,intended,svm,38,female,0.33400,0.66019,0.28019,0.31034,0.34171,0.21070,0.20087,0.32873,0.64557,0.27885,0.27907,0.42500,0.12059,0.22330
observed,intended,svm,38,cauc,0.31855,0.66816,0.26498,0.29851,0.26667,0.21818,0.19481,0.32708,0.64502,0.27815,0.29412,0.36782,0.12529,0.25210
observed,intended,svm,38,non-cauc,0.31449,0.64035,0.30345,0.31579,0.18000,0.23423,0.21311,0.31112,0.63478,0.28947,0.28767,0.22500,0.13437,0.29545
intended,intended,svm,38,male,0.40085,0.64752,0.35191,0.32692,0.30712,0.37778,0.39385,0.34252,0.60194,0.28708,0.26842,0.23699,0.31288,0.34783
intended,intended,svm,38,female,0.43996,0.68731,0.34686,0.39130,0.47099,0.31760,0.42568,0.37385,0.64535,0.27976,0.31214,0.39655,0.23871,0.37059
intended,intended,svm,38,cauc,0.43192,0.68534,0.35129,0.37890,0.41039,0.35616,0.40941,0.37047,0.63855,0.28736,0.31349,0.34052,0.27426,0.36864
intended,intended,svm,38,non-cauc,0.39565,0.62810,0.34595,0.30409,0.35429,0.33333,0.40816,0.33196,0.58915,0.27586,0.23423,0.26957,0.28395,0.33898
observed,intended,svm,39,male,0.31669,0.57910,0.26840,0.29565,0.25455,0.25243,0.25000,0.33973,0.56069,0.27679,0.30909,0.36207,0.14815,0.38158
observed,intended,svm,39,female,0.33638,0.63023,0.27083,0.22707,0.33333,0.26861,0.28821,0.33552,0.62821,0.26804,0.21311,0.36364,0.16084,0.37931
observed,intended,svm,39,cauc,0.32304,0.60377,0.26255,0.24262,0.30769,0.25541,0.26621,0.32643,0.58716,0.25185,0.23270,0.37895,0.15012,0.35780
observed,intended,svm,39,non-cauc,0.33345,0.60360,0.28049,0.29870,0.27642,0.26766,0.27381,0.35824,0.60360,0.31081,0.31507,0.33333,0.16071,0.42593
intended,intended,svm,39,male,0.39867,0.60465,0.31385,0.30032,0.36364,0.37681,0.43275,0.34611,0.57143,0.24757,0.24352,0.27861,0.33766,0.39785
intended,intended,svm,39,female,0.43905,0.68902,0.33083,0.32414,0.40418,0.39098,0.49518,0.37996,0.65318,0.25731,0.25683,0.31694,0.33987,0.45562
intended,intended,svm,39,cauc,0.40785,0.64399,0.28418,0.32338,0.37659,0.38395,0.43500,0.34893,0.60426,0.21285,0.25391,0.29134,0.32843,0.40278
intended,intended,svm,39,non-cauc,0.43477,0.64935,0.38532,0.28856,0.39604,0.38342,0.50593,0.38702,0.62500,0.32812,0.24167,0.30769,0.35922,0.46043
observed,intended,svm,4,male,0.29446,0.62941,0.26432,0.23574,0.16568,0.24940,0.22222,0.30791,0.60795,0.24390,0.24219,0.25926,0.14566,0.34848
observed,intended,svm,4,female,0.35070,0.65101,0.26531,0.31461,0.32692,0.26444,0.28194,0.34658,0.65541,0.28571,0.28966,0.39535,0.15704,0.29630
observed,intended,svm,4,cauc,0.32889,0.66200,0.26119,0.27089,0.26087,0.25780,0.26059,0.33204,0.66981,0.25180,0.26111,0.34021,0.15184,0.31746
observed,intended,svm,4,non-cauc,0.31318,0.59330,0.27097,0.28415,0.24194,0.25251,0.23622,0.32045,0.55357,0.28000,0.27957,0.34884,0.14824,0.31250
intended,intended,svm,4,male,0.40341,0.63128,0.32278,0.32927,0.31373,0.35714,0.46626,0.34624,0.58247,0.24057,0.27979,0.25131,0.31250,0.41081
intended,intended,svm,4,female,0.43103,0.65204,0.34457,0.36306,0.41694,0.38889,0.42069,0.37166,0.61538,0.28395,0.29688,0.34595,0.33108,0.35673
intended,intended,svm,4,cauc,0.41683,0.67249,0.32804,0.35492,0.35784,0.36464,0.42308,0.35991,0.63900,0.24900,0.29600,0.28968,0.31132,0.37447
intended,intended,svm,4,non-cauc,0.41740,0.57534,0.34146,0.32889,0.38049,0.38824,0.49000,0.35562,0.51639,0.28000,0.27407,0.31452,0.34375,0.40496
observed,intended,svm,40,male,0.30504,0.61493,0.24681,0.32340,0.19178,0.26138,0.19192,0.31807,0.58857,0.26852,0.35185,0.25000,0.15259,0.29688
observed,intended,svm,40,female,0.32441,0.64407,0.29310,0.17593,0.38498,0.25893,0.18947,0.33629,0.63333,0.34343,0.15966,0.53247,0.15317,0.19565
observed,intended,svm,40,cauc,0.32259,0.63776,0.26875,0.23026,0.32258,0.27619,0.20000,0.33669,0.62189,0.30070,0.22293,0.47059,0.16329,0.24074
observed,intended,svm,40,non-cauc,0.30875,0.61345,0.27211,0.29932,0.27027,0.22547,0.17187,0.31460,0.58871,0.31250,0.31429,0.31250,0.13043,0.22917
intended,intended,svm,40,male,0.40240,0.64589,0.37618,0.36025,0.31944,0.30175,0.41088,0.34059,0.59067,0.31250,0.29744,0.23232,0.26543,0.34518
intended,intended,svm,40,female,0.44238,0.71385,0.36000,0.32576,0.47945,0.35338,0.42182,0.38197,0.64444,0.32335,0.25749,0.44872,0.29012,0.32768
intended,intended,svm,40,cauc,0.41892,0.67290,0.35514,0.32898,0.42752,0.34010,0.38889,0.35638,0.60759,0.30279,0.26695,0.35656,0.28879,0.31557
intended,intended,svm,40,non-cauc,0.42587,0.68800,0.39791,0.37438,0.33526,0.29299,0.46667,0.36273,0.63235,0.35185,0.30159,0.26364,0.25000,0.37692
observed,intended,svm,41,male,0.28850,0.64000,0.21801,0.27376,0.14545,0.28410,0.16964,0.29186,0.58824,0.20354,0.30769,0.19355,0.17027,0.28788
observed,intended,svm,41,female,0.31106,0.58113,0.19324,0.31837,0.34197,0.24198,0.18966,0.31465,0.57463,0.21739,0.30709,0.41772,0.14188,0.22917
observed,intended,svm,41,cauc,0.31665,0.64000,0.21324,0.28000,0.28319,0.28030,0.20317,0.31499,0.60444,0.20567,0.29167,0.35165,0.16761,0.26891
observed,intended,svm,41,non-cauc,0.27482,0.56744,0.19178,0.32911,0.19697,0.23598,0.12766,0.28466,0.53982,0.21875,0.34211,0.26000,0.13801,0.20930
intended,intended,svm,41,male,0.38614,0.65054,0.27476,0.33236,0.23567,0.37908,0.44444,0.33927,0.60199,0.20000,0.28934,0.17536,0.36478,0.40415
intended,intended,svm,41,female,0.43750,0.66667,0.32997,0.37415,0.45833,0.40613,0.38978,0.37657,0.62252,0.26923,0.31250,0.37931,0.33125,0.34463
intended,intended,svm,41,cauc,0.41334,0.68056,0.26733,0.36364,0.35088,0.41221,0.40541,0.35724,0.63362,0.19780,0.31579,0.26515,0.36818,0.36290
intended,intended,svm,41,non-cauc,0.40398,0.61261,0.36893,0.32692,0.32512,0.34483,0.44545,0.35339,0.56667,0.30645,0.26984,0.27273,0.30303,0.40164
observed,intended,svm,42,male,0.30169,0.62069,0.25000,0.25191,0.23280,0.26652,0.18824,0.32199,0.60309,0.21739,0.26190,0.33333,0.15803,0.35821
observed,intended,svm,42,female,0.32557,0.62838,0.23276,0.24903,0.34862,0.22799,0.26667,0.33133,0.58491,0.25962,0.24060,0.45783,0.13255,0.31250
observed,intended,svm,42,cauc,0.32059,0.62780,0.21754,0.25698,0.32967,0.25520,0.23636,0.33346,0.58333,0.20946,0.25556,0.46875,0.15033,0.33333
observed,intended,svm,42,non-cauc,0.29889,0.61674,0.27807,0.23602,0.22388,0.23864,0.20000,0.31423,0.61947,0.27660,0.24051,0.28302,0.13969,0.32609
intended,intended,svm,42,male,0.42506,0.67662,0.31546,0.31755,0.35650,0.41584,0.46842,0.37381,0.62100,0.23256,0.25561,0.28365,0.38650,0.46354
intended,intended,svm,42,female,0.41183,0.63323,0.34194,0.33663,0.44444,0.28800,0.42675,0.35290,0.55495,0.29121,0.28492,0.38889,0.23529,0.36216
intended,intended,svm,42,cauc,0.41500,0.66381,0.30049,0.33110,0.40000,0.35925,0.43534,0.35831,0.59387,0.22677,0.27509,0.33721,0.31455,0.40239
intended,intended,svm,42,non-cauc,0.42899,0.64567,0.38009,0.31628,0.39810,0.35556,0.47826,0.37329,0.58571,0.32812,0.25564,0.32308,0.31068,0.43651
observed,intended,svm,43,male,0.31549,0.65041,0.29245,0.28689,0.19048,0.26495,0.20779,0.35877,0.62176,0.28182,0.36458,0.30000,0.15586,0.42857
observed,intended,svm,43,female,0.33043,0.62706,0.27679,0.26087,0.34862,0.22029,0.24896,0.33733,0.59748,0.31313,0.23077,0.45783,0.12773,0.29703
observed,intended,svm,43,cauc,0.32641,0.64000,0.28283,0.27190,0.29927,0.22919,0.23529,0.35036,0.60987,0.28966,0.28302,0.45055,0.13295,0.33613
